,lemat,emocje,stopien_nacechowania
45287,donkiszot,wstręt;,- m
45288,donkiszot,wstręt;,- m
45289,żywy kościotrup,wstręt: brzydota;,- m
45290,żywy kościotrup,wstręt;,- m
45291,skóra i kości,wstręt;smutek,- m
45292,skóra i kości,wstręt;smutek;strach,- m
45293,szczapa,wstręt;,- m
45294,szczapa,wstręt;,- m
45295,szkielet,wstręt;,- m
45296,szkielet,brzydota;wstręt;smutek;strach,- m
45297,wieszak,wstręt;,- m
45298,wieszak,wstręt;,- m
45299,kościany dziadek,wstręt;,- m
45300,kościany dziadek,wstręt;,- m
45305,chudy,wstręt;,- s
45306,chudy,wstręt;,- s
45311,człowiek czynu,zaufanie;radość,+ s
45312,człowiek czynu,zaufanie;radość,+ m
45313,ludzie czynu,zaufanie;,+ m
45314,ludzie czynu,,+ m
45315,człowiek wielkiego ducha,zaufanie;radość,+ s
45316,człowiek wielkiego ducha,zaufanie;radość,+ m
45317,człowiek wielkiego serca,radość;,+ m
45318,człowiek wielkiego serca,radość;,+ m
45319,człowiek o wielkim sercu,radość;,+ m
45320,człowiek o wielkim sercu,radość;,+ m
45321,dyktator,wstręt;złość;smutek;strach,- m
45322,dyktator,złość;smutek;strach,- m
45323,dawca narządów,złość;radość;smutek,amb
45324,dawca narządów,wstręt;złość,- m
45325,dawca narządów,wstręt;złość,- m
45336,szewska pasja,złość;zaskoczenie,- m
45337,szewska pasja,złość;zaskoczenie,- m
45342,żyła złota,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
45343,żyła złota,radość;,+ m
45358,chytra sztuka,złość;radość;wstręt,amb
45359,chytra sztuka,złość;radość;wstręt,amb
45360,czarna owca,wstręt;złość,- m
45361,czarna owca,wstręt;złość,- m
45362,wyrodek,wstręt;złość;smutek,- s
45363,wyrodek,wstręt;złość;smutek,- s
45364,damski bokser,wstręt;złość;strach,- m
45365,damski bokser,wstręt;złość;strach,- m
45368,hiena cmentarna,wstręt;złość;strach,- m
45369,hiena cmentarna,wstręt;złość;strach,- m
45370,złote jabłko,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
45371,złote jabłko,radość;,+ m
45372,krytykant,wstręt;,- s
45373,krytykant,wstręt;,- s
45374,złoty interes,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
45375,złoty interes,radość;,+ m
45376,kopalnia złota,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
45377,kopalnia złota,radość;,+ m
45378,męty społeczne,złość;wstręt;,- m
45379,męty społeczne,złość;wstręt;,- m
45380,złoty środek,zaufanie;cieszenie się na;radość,+ s
45381,złoty środek,zaufanie;cieszenie się na,+ s
45394,dupa,zaufanie;złość;radość;wstręt,amb
45395,dupa,złość;radość;wstręt,amb
45396,dzieciobójca,wstręt;złość;strach,- m
45397,dzieciobójca,wstręt;złość;strach,- m
45434,marchołt,złość;,- s
45435,marchołt,złość;,- s
45436,surogatka,radość;smutek;strach,amb
45439,podludzie,złość;strach;wstręt;,- m
45440,podludzie,strach;wstręt;,- m
45441,pożeracz serc,złość;smutek,- s
45442,pożeracz serc,złość;smutek;strach,- s
45443,pusta noc,smutek;,- s
45444,pusta noc,smutek;,- s
45445,opłakana noc,smutek;,- s
45446,opłakana noc,smutek;,- m
45447,opłakana noc,smutek;,- s
45448,wilk morski,zaufanie;radość,+ m
45449,wilk morski,zaufanie;,+ m
45450,chłop jak dąb,-;,+ m
45451,chłop jak dąb,zaufanie;radość,+ m
45452,mistrz pióra,radość;,+ m
45453,mistrz pióra,radość;,+ m
45472,słomiana wdowa,smutek;,- s
45473,słomiana wdowa,smutek;,- s
45474,emigracja wewnętrzna,smutek;złość;,- s
45475,emigracja wewnętrzna,smutek;,- m
45476,emigracja wewnętrzna,złość;wstręt;,- s
45477,grupa ryzyka,smutek;strach;,- s
45478,grupa ryzyka,strach;,- s
45480,komin płacowy,,+ s
45483,kompleks niższości,smutek;wstręt;,- s
45484,kompleks niższości,smutek;,- s
45499,ostra amunicja,,- s
45525,sentymentalista,złość;radość,amb
45526,sentymentalista,złość;radość;smutek,amb
45527,klasycyzm,radość;,+ s
45533,mąż stanu,zaufanie;,+ m
45534,mąż stanu,zaufanie;,+ m
45535,mąż zaufania,zaufanie;,+ m
45536,mąż zaufania,zaufanie;,+ m
45537,mąż opatrznościowy,zaufanie;,+ m
45538,mąż opatrznościowy,zaufanie;,+ m
45546,szary rynek,,- s
45551,kolos na glinianych nogach,złość;smutek;strach,- m
45552,kolos na glinianych nogach,smutek;strach,- m
45553,dziecko ulicy,złość;smutek;strach,- s
45554,dziecko ulicy,wstręt;smutek,- s
45557,ciche dni,smutek;złość;,- s
45558,ciche dni,smutek;złość;,- s
45559,ciepłe gniazdko,radość;,+ s
45560,ciepłe gniazdko,radość;zaufanie;złość;,amb
45561,ciepłe gniazdko,radość;zaufanie;złość;wstręt;,amb
45564,cios w plecy,złość;smutek;strach,- m
45565,cios w plecy,złość;smutek;strach,- m
45566,napitka,wstręt;złość,- s
45567,napitka,wstręt;,- s
45570,świński ryj,wstręt;złość,- m
45571,świński ryj,wstręt;złość,- m
45572,świńska morda,wstręt;złość,- m
45573,świńska morda,wstręt;,- m
45574,ziółko,złość;radość,amb
45575,ziółko,szczęście;złość;błąd;radość;nieszczęście,- s
45578,czarny punkt,smutek;złość;strach;,- s
45579,czarny punkt,strach;,- s
45580,pan i władca,wstręt;złość,- s
45581,pan i władca,wstręt;złość,- s
45582,literek,radość;,+ s
45592,rólka,smutek;,- s
45600,laps,wstręt;złość,- m
45601,laps,wstręt;złość,- m
45602,granatowa policja,wstręt;,- s
45620,weredyk,złość;smutek,amb
45621,weredyk,zaufanie;złość;,amb
45646,ironia,smutek;złość;,- m
45647,ironia,smutek;złość;,- s
45648,ironia,złość;,- s
45649,mefisto,wstręt;,- s
45650,mefisto,wstręt;strach,- s
45664,śmiech przez łzy,smutek;,- s
45665,śmiech przez łzy,smutek;,- s
45668,mur,smutek;złość;,- m
45669,mur,smutek;złość;,- s
45670,mur,smutek;złość;,- s
45671,próg,smutek;złość;,- s
45672,próg,smutek;złość;,- s
45673,przeciwieństwo,smutek;złość;,- m
45674,przeciwieństwo,smutek;złość;,- s
45675,przeciwieństwo,smutek;,- s
45676,rafa,smutek;złość;,- m
45677,rafa,smutek;złość;,- s
45678,rafa,smutek;złość;,- s
45679,ściana,smutek;złość;,- m
45680,ściana,smutek;złość;,- s
45681,ściana,smutek;złość;,- s
45682,tama,smutek;złość;,- m
45683,tama,smutek;złość;,- s
45684,tama,zaufanie;cieszenie się na coś oczekiwanego;złość;wstręt;,amb
45685,zapora,smutek;złość;,- m
45686,zapora,smutek;złość;,- s
45687,zapora,smutek;złość;wstręt;,- s
45688,ograniczenie,wstręt;złość;smutek,- m
45689,ograniczenie,wstręt;złość;smutek,- m
45690,antybodziec,złość;,- s
45691,antybodziec,smutek;złość;,- s
45694,hamulec,złość;,- m
45695,hamulec,smutek;złość;,- s
45696,hamulec,smutek;złość;,- s
45701,pupilek,wstręt;radość,amb
45702,pupilek,wstręt;radość,amb
45705,towarzysz niedoli,zaufanie;radość;smutek,amb
45706,towarzysz niedoli,zaufanie;radość;smutek,amb
45707,zakłócenie,smutek;złość;,- s
45708,zakłócenie,smutek;złość;,- s
45711,nagromadzenie,smutek;złość;,- s
45712,nagromadzenie,,- s
45713,spiętrzenie,smutek;złość;,- s
45714,spiętrzenie,,- s
45715,ciężar,smutek;złość;wstręt;,- s
45716,ciężar,smutek;złość;,- s
45719,kamień u szyi,smutek;złość;wstręt;,- s
45720,kamień u szyi,smutek;złość;,- s
45721,piąte koło u wozu,smutek;złość;wstręt;,- s
45722,piąte koło u wozu,smutek;złość;,- m
45723,piąte koło u wozu,smutek;złość;,- s
45724,zawalidroga,smutek;złość;,- s
45725,zawalidroga,smutek;złość;,- s
45734,jehowa,wstręt;,- s
45736,jehowita,wstręt;,- s
45754,aptekarska dokładność,zaufanie;złość,amb
45755,aptekarska dokładność,zaufanie;złość,amb
45756,ekspresyjność,radość;,+ s
45757,ekspresyjność,radość;,+ s
45758,fasadowość,wstręt;złość,- s
45759,fasadowość,smutek;złość;,- s
45766,kwiecistość,złość;radość;wstręt,amb
45767,kwiecistość,złość;radość;wstręt,amb
45771,Namiestnik Chrystusa,zaufanie;,+ s
45774,Ojciec Święty,zaufanie;,+ s
45777,sługa sług Bożych,zaufanie;,+ s
45791,wolna sobota,radość;,+ s
45793,grobowa cisza,smutek;strach;,- m
45794,grobowa cisza,smutek;strach,- m
45795,grobowa cisza,smutek;strach,- m
45823,burza,zaskoczenie;smutek;strach,- m
45825,huragan,zaskoczenie;smutek;strach,- m
45827,nawałnica,zaskoczenie;smutek;strach,- m
45831,pożoga,zaskoczenie;smutek;strach,- m
45833,wicher,zaskoczenie;smutek;strach,- m
45835,zawierucha,smutek;strach,- m
45836,baranek,-;,+ s
45837,baranek,-;,+ s
45846,siurpryza,cieszenie się na;radość;zaskoczenie,amb
45847,siurpryza,radość;zaskoczenie czymś nieprzewidywanym;,amb
45848,odkrycie,złość;radość;smutek;zaskoczenie,amb
45849,odkrycie,złość;radość;smutek;zaskoczenie,amb
45852,sensacja,radość;zaskoczenie,amb
45853,sensacja,radość;zaskoczenie,amb
45854,awantura arabska,złość;zaskoczenie,- m
45855,awantura arabska,złość;zaskoczenie,- m
45856,szoking,radość;zaskoczenie,amb
45857,szoking,radość;zaskoczenie,amb
45858,shocking,radość;zaskoczenie,amb
45859,shocking,radość;zaskoczenie czymś nieprzewidywanym;smutek;,amb
45876,pożegnalny,radość;smutek,amb
45877,pożegnalny,radość;smutek,amb
45888,terminalny,zaskoczenie czymś nieprzewidywanym;smutek;złość;strach;,- m
45889,terminalny,złość;smutek,- m
45890,terminalny,złość;smutek,- m
45891,schyłkowy,smutek;,- m
45892,schyłkowy,smutek;,- m
45893,dekadencki,smutek;,- m
45894,dekadencki,smutek;złość;wstręt;,- s
45895,dekadencki,smutek;złość;wstręt;,- s
45896,czystka etniczna,złość;smutek;strach,- m
45897,czystka etniczna,złość;smutek;strach,- m
45898,zbrodnia przeciw ludzkości,smutek;złość;strach;wstręt;,- m
45899,zbrodnia przeciw ludzkości,smutek;złość;strach;wstręt;,- m
45900,zbrodnia przeciw pokojowi,smutek;złość;,- s
45901,zbrodnia przeciw pokojowi,smutek;złość;strach;wstręt;,- m
45902,zbrodnia przeciw pokojowi,smutek;złość;,- m
45903,zbrodnia wojenna,smutek;złość;strach;wstręt;,- m
45904,zbrodnia wojenna,smutek;złość;strach;wstręt;,- m
45905,zdrada stanu,złość;wstręt;,- m
45906,zdrada stanu,smutek;złość;wstręt;,- m
45911,niespodzianka,cieszenie się na;radość,+ s
45912,niespodzianka,radość;,+ s
45923,absztyfikant,złość;radość;wstręt,amb
45924,absztyfikant,złość;cieszenie się na;radość;wstręt,amb
45931,pleciuch,wstręt;złość,- s
45932,pleciuch,wstręt;złość,- s
45933,plociuch,wstręt;złość,- s
45934,plociuch,wstręt;złość,- s
45935,pleciuga,wstręt;złość,- s
45936,pleciuga,wstręt;złość,- s
45959,kułak,złość;,- s
45960,kułak,złość;,- s
45973,stary koń,wstręt;złość,- s
45974,stary koń,wstręt;złość;zaskoczenie,- s
45975,pstrokacizna,wstręt;,- s
45976,pstrokacizna,wstręt;,- s
45977,stary byk,wstręt;złość,- s
45978,stary byk,wstręt;złość,- s
45989,wężowisko,strach;wstręt;,- s
46030,bilans bierny,,- s
46034,bilans czynny,radość;,+ s
46057,purytanin,złość;,- s
46058,purytanin,złość;,- s
46069,farbowany lis,wstręt;złość,- m
46070,farbowany lis,wstręt;złość,- m
46075,ciężki grosz,smutek;złość;,- m
46076,ciężki grosz,radość;smutek;złość;wstręt;,amb
46077,ciężki grosz,radość;złość;,amb
46078,ciężki pieniądz,radość;smutek;złość;,amb
46079,ciężki pieniądz,radość;smutek;złość;wstręt;,amb
46080,drogie pieniądze,smutek;złość;,- m
46081,drogie pieniądze,smutek;złość;wstręt;,- m
46082,ciężka forsa,radość;smutek;złość;,amb
46083,ciężka forsa,radość;smutek;złość;wstręt;,amb
46110,judaszowe srebrniki,złość;wstręt;,- s
46111,judaszowe srebrniki,smutek;złość;wstręt;,- m
46112,judaszowe srebrniki,smutek;wstręt;,- s
46115,końska kuracja,radość;cieszenie się na coś oczekiwanego;,+ s
46116,końska kuracja,,+ s
46117,końskie zdrowie,radość;zaufanie;,+ m
46118,końskie zdrowie,radość;,+ m
46119,żelazne zdrowie,radość;zaufanie;,+ m
46120,żelazne zdrowie,radość;,+ m
46123,poeta laureatus,radość;,+ s
46124,poeta laureatus,radość;,+ s
46125,łazarz,wstręt;smutek,- s
46126,łazarz,wstręt;smutek,- s
46129,złota młodzież,,- s
46130,złota młodzież,złość;wstręt;,- s
46131,surowość,wstręt;radość;smutek,amb
46132,surowość,wstręt;radość;smutek,amb
46161,kobieta z przeszłością,wstręt;złość;smutek;strach,- s
46162,kobieta z przeszłością,wstręt;smutek,- s
46165,kobieta sukcesu,radość;smutek;strach,amb
46166,kobieta sukcesu,złość;cieszenie się na;radość;wstręt,amb
46167,kobieta życia,zaufanie;radość,+ m
46168,kobieta życia,zaufanie;radość,+ m
46173,panna w wieku poborowym,cieszenie się na;radość,+ s
46175,kobieta w wieku poborowym,cieszenie się na;radość,+ s
46177,kukułcze jajo,złość;,- s
46178,kukułcze jajo,,- m
46179,kukułcze jajo,smutek;złość;wstręt;,- s
46182,niedzielny kierowca,strach;,- s
46183,niedzielny kierowca,strach;,- s
46184,niewierny Tomasz,smutek;złość;,- s
46185,niewierny Tomasz,smutek;,- s
46186,pożyteczny idiota,wstręt;,- s
46187,pożyteczny idiota,wstręt;,- s
46190,stary lis,zaufanie;radość,+ m
46191,stary lis,zaufanie;radość,+ m
46192,stary wróbel,zaufanie;radość,+ m
46193,stary wróbel,zaufanie;radość,+ m
46194,stary wyga,zaufanie;radość,+ m
46195,stary wyga,zaufanie;radosć,+ m
46202,strzała Amora,radość;złość;,amb
46203,strzała Amora,radość;zaufanie;smutek;złość;,amb
46204,strzała Erosa,radość;zaskoczenie czymś nieprzewidywanym;złość;,amb
46205,strzała Erosa,radość;zaufanie;smutek;złość;,amb
46208,strzała Kupidyna,radość;złość;,amb
46209,strzała Kupidyna,radość;zaufanie;smutek;złość;,amb
46226,cielęcy zachwyt,wstręt;,- m
46227,cielęcy zachwyt,wstręt;,- m
46228,cielęce uwielbienie,wstręt;,- m
46229,cielęce uwielbienie,wstręt;,- m
46230,cisza jak makiem zasiał,radość;smutek;strach;,amb
46231,cisza jak makiem zasiał,złość;radość;smutek,amb
46232,godzina,radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;,amb
46234,czarna godzina,smutek;strach;,- s
46235,czarna godzina,zaskoczenie czymś nieprzewidywanym;smutek;złość;strach;,- m
46236,czarna godzina,smutek;strach;,- s
46237,czarna reakcja,,- s
46238,czarna reakcja,złość;wstręt;,- s
46239,dantejska scena,strach;zaskoczenie,- m
46240,dantejska scena,strach;zaskoczenie,- m
46243,drętwa gadka,smutek;złość;,- s
46244,drętwa gadka,smutek;złość;,- s
46247,zamek na piasku,smutek;,- s
46248,zamek na piasku,smutek;zaskoczenie,- s
46249,zamek na lodzie,smutek;złość;,- m
46250,zamek na lodzie,smutek;,- s
46251,zamek na lodzie,smutek;strach;wstręt;,- s
46252,zło konieczne,smutek;,- s
46253,zło konieczne,smutek;,- m
46254,zło konieczne,złość;wstręt;,- s
46279,strzęp ludzki,wstręt;złość;smutek,- s
46280,strzęp ludzki,wstręt;złość;smutek,- s
46283,dobry wujek,złość;radość;wstręt,amb
46284,dobry wujek,złość;radość;wstręt,amb
46285,dobry wujaszek,złość;radość;wstręt,amb
46286,dobry wujaszek,złość;radość;wstręt,amb
46287,fachman,zaufanie;radość,+ s
46288,fachman,zaufanie;radość,+ s
46315,fąfel,radość;,+ s
46316,fąfel,szczęście;radość,+ s
46323,gorący okres,radość;cieszenie się na coś oczekiwanego;smutek;złość;,amb
46324,gorący okres,radość;złość;,amb
46325,gorzka pigułka,smutek;,- m
46326,gorzka pigułka,smutek;złość;,- m
46329,homeryczny śmiech,złość;radość,amb
46330,homeryczny śmiech,radość;złość;,amb
46331,hyś,radość;smutek;złość;,amb
46332,hyś,radość;smutek;złość;,amb
46333,hyź,radość;smutek;złość;,amb
46334,hyź,radość;smutek;złość;,amb
46335,kamień obrazy,smutek;złość;wstręt;,- s
46336,kamień obrazy,smutek;złość;wstręt;,- s
46337,kokosowy interes,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
46338,kokosowy interes,radość;,+ m
46339,kropla w morzu,smutek;złość;,- m
46340,kropla w morzu,smutek;złość;,- s
46341,kropla w morzu,smutek;złość;,- m
46342,kropla w morzu potrzeb,smutek;złość;,- m
46343,kropla w morzu potrzeb,smutek;złość;,- s
46344,kropla w morzu potrzeb,smutek;złość;,- m
46345,kura znosząca złote jaja,radość;zaufanie;cieszenie się na coś oczekiwanego;,+ m
46346,kura znosząca złote jaja,radość;,+ m
46347,kurzy móżdżek,wstręt;złość;smutek,- m
46348,kurzy móżdżek,smutek;złość;,- m
46349,ptasi móżdżek,wstręt;złość;smutek,- m
46350,ptasi móżdżek,smutek;złość;,- m
46351,kurzy móżdżek,wstręt;złość,- m
46352,kurzy móżdżek,wstręt;złość,- m
46353,ptasi móżdżek,wstręt;złość,- m
46354,ptasi móżdżek,wstręt;złość,- m
46359,robociarz,zaufanie;radość;smutek,amb
46360,robociarz,zaufanie;smutek;wstręt,amb
46371,nasz człowiek,zaufanie;radość,+ m
46372,nasz człowiek,zaufanie;radość,+ m
46381,mistrz wszechwag,radość;cieszenie się na coś oczekiwanego;,+ s
46382,mistrz wszechwag,radość;cieszenie się na coś oczekiwanego;,+ s
46383,czempion wszechwag,radość;cieszenie się na coś oczekiwanego;,+ s
46384,czempion wszechwag,radość;cieszenie się na coś oczekiwanego;,+ s
46387,krezus,złość;radość,amb
46388,krezus,złość;radość,amb
46393,potańc,radość;,+ s
46394,potańc,radość;,+ s
46395,famulus,zaufanie;,+ s
46396,famulus,zaufanie;,+ s
46397,czarny koń,zaufanie;cieszenie się na coś oczekiwanego;,+ s
46398,czarny koń,zaufanie;cieszenie się na coś oczekiwanego;,+ s
46409,krzykała,złość;,- s
46410,krzykała,wstręt;złość,- s
46423,wąskie gardło,smutek;złość;,- m
46424,wąskie gardło,smutek;złość;,- s
46425,wąskie gardło,zaskoczenie czymś nieprzewidywanym;złość;wstręt;,- s
46434,dom wariatów,smutek;strach;,- m
46435,dom wariatów,złość;wstręt;,- s
46436,dom wariatów,smutek;strach;wstręt;,- m
46437,dom wariatów,wstręt;złość;zaskoczenie,- m
46438,dom wariatów,złość;,- m
46457,grupa nacisku,,amb
46458,grupa nacisku,,amb
46465,samotna matka,zaufanie;smutek;strach,amb
46476,zawalisko,złość;strach;,- s
46477,zawalisko,smutek;złość;,- m
46478,zawalisko,smutek;złość;strach;wstręt;,- m
46485,drobny ciułacz,smutek;,- s
46486,drobny ciułacz,smutek;,- s
46511,kontrabandzista,wstręt;złość,- m
46512,kontrabandzista,wstręt;złość;strach,- m
46527,państwowiec,zaufanie;,+ s
46555,manna z nieba,radość;,+ s
46556,manna z nieba,radość;,+ m
46557,manna z nieba,radość;,+ m
46558,krok milowy,radość;cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;,+ m
46559,krok milowy,radość;,+ s
46560,krok milowy,radość;cieszenie się na coś oczekiwanego;,+ s
46561,mizerak,wstręt;złość,- s
46562,mizerak,wstręt;złość;smutek,- s
46563,mokra robota,złość;,- s
46564,mokra robota,smutek;złość;strach;wstręt;,- s
46569,ostatnie podrygi,radość;cieszenie się na coś oczekiwanego;smutek;,amb
46570,ostatnie podrygi,smutek;złość;,- s
46571,ostatnie podrygi,smutek;złość;,- s
46572,pędziwiatr,zaskoczenie;,- s
46573,pędziwiatr,złość;zaskoczenie,- s
46574,pomieszanie z poplątaniem,złość;smutek,- m
46575,pomieszanie z poplątaniem,złość;smutek,- m
46576,próba ognia,smutek;złość;strach;,- s
46577,próba ognia,smutek;złość;strach;,- s
46584,parszywa owca,wstręt;złość,- m
46585,parszywa owca,wstręt;złość,- m
46586,zakała,wstręt;złość,- m
46587,zakała,wstręt;złość,- m
46588,stygmat,radość;smutek,amb
46589,stygmat,smutek;,amb
46590,białas,wstręt;,- s
46591,białas,wstręt;,- s
46592,książę z bajki,zaufanie;radość,+ m
46593,książę z bajki,złość;radość;wstręt,amb
46594,książę z bajki,wstręt;radość,amb
46595,strzał w dziesiątkę,radość;,+ m
46596,strzał w dziesiątkę,radość;,+ m
46597,świński blondyn,wstręt;,- m
46598,świński blondyn,wstręt;,- m
46599,szwadron śmierci,strach;wstręt;,- s
46600,szwadron śmierci,strach;wstręt;,- m
46601,szwadron śmierci,smutek;złość;strach;wstręt;,- m
46602,wypierdek mamuta,wstręt;złość;smutek,- m
46603,wypierdek mamuta,wstręt;złość;smutek,- m
46604,wysiadka,zaskoczenie czymś nieprzewidywanym;smutek;złość;strach;,- s
46606,zasmarkaniec,złość;,- m
46607,zasmarkaniec,złość;wstręt;,- m
46612,ciężka ręka,złość;wstręt;,- s
46613,ciężka ręka,wstręt;,- s
46615,chrapać,smutek;złość;wstręt;,- s
46616,chrapać,wstręt;,- s
46617,chrapać,smutek;złość;wstręt;,- s
46658,zew krwi,cieszenie się na;,+ m
46659,zew krwi,cieszenie się na;złość,amb
46660,zew krwi,cieszenie się na;,+ m
46661,głos natury,smutek;złość;,- s
46662,głos natury,radość;zaufanie;złość;wstręt;,amb
46663,głos natury,złość;wstręt;,- s
46666,zmysły,cieszenie się na;radość,+ s
46667,zmysły,cieszenie się na;radość,+ s
46668,pokusa,smutek;złość;,- s
46669,pokusa,smutek;złość;,- s
46670,żądza,złość;,- m
46671,żądza,smutek;złość;wstręt;,- m
46672,pożądanie,smutek;złość;,- m
46673,pożądanie,smutek;złość;,- s
46674,pożądanie,złość;,- s
46677,tęsknota,smutek;,- m
46678,tęsknota,smutek;,- m
46681,pałuba,-;,- s
46682,pałuba,wstręt;,- s
46689,ciepłe kluski,złość;,- s
46690,ciepłe kluski,złość;,- s
46691,ciepłe kluchy,złość;,- s
46692,ciepłe kluchy,złość;,- s
46693,córuś,radość;,+ m
46694,córuś,radość;,+ m
46695,popędzić,,amb
46696,popędzić,,amb
46697,popędzić,smutek;złość;,- s
46698,popędzić,smutek;złość;,- s
46709,maślane oczy,złość;radość,amb
46710,maślane oczy,złość;radość,amb
46711,maślane spojrzenie,złość;radość,amb
46712,maślane spojrzenie,złość;radość,amb
46713,antypody,złość;,- s
46714,antypody,złość;,- s
46717,pierwsza jaskółka,cieszenie się na;radość,+ s
46718,pierwsza jaskółka,cieszenie się na;radość,+ s
46719,osioł patentowany,wstręt;złość,- m
46720,osioł patentowany,wstręt;złość,- m
46723,stara pudernica,wstręt;,- m
46724,stara pudernica,wstręt;,- m
46739,odklejać się,złość;,- s
46740,odklejać się,,amb
46741,odklejać się,smutek;złość;,- s
46742,odlepiać się,złość;,- s
46743,odlepiać się,,amb
46744,odlepiać się,cieszenie się na coś oczekiwanego;złość;,amb
46745,przebić się,zaufanie;,+ s
46746,przebić się,,+ s
46750,oczyścić,,+ s
46751,myszka,wstręt;strach,- s
46752,myszka,wstręt;strach,- s
46756,oczyszczać,,+ s
46770,koronkowa robota,radość;,+ s
46771,koronkowa robota,radość;,+ s
46776,krwawić,smutek;strach;,- s
46790,jędrny,radość;,+ s
46791,jędrny,radość;,+ s
46792,łysa pała,wstręt;złość,- m
46793,łysa pała,złość;wstręt;,- m
46798,zmarznięty,smutek;,- s
46799,zmarznięty,smutek;,- s
46800,zziębły,smutek;,- s
46801,zziębły,smutek;,- s
46802,zziębnięty,smutek;,- s
46803,zziębnięty,smutek;,- s
46804,skostniały,smutek;,- s
46805,skostniały,smutek;,- s
46806,wietrznica,wstręt;złość;smutek,- s
46807,wietrznica,wstręt;złość,- s
46808,chapać,złość;wstręt;,- s
46809,chapać,złość;wstręt;,- s
46812,wideopiractwo,złość;,- s
46813,wideopiractwo,złość;,- s
46814,najstarszy zawód świata,wstręt;,- s
46815,najstarszy zawód świata,wstręt;,- s
46818,doić,radość;smutek;złość;,amb
46819,doić,smutek;złość;,- s
46820,doić,radość;cieszenie się na coś oczekiwanego;złość;wstręt;,amb
46827,doić,smutek;złość;,- m
46828,doić,złość;,- m
46851,zezowate szczęście,,- s
46852,zezowate szczęście,smutek;,- s
46853,garbate szczęście,,- s
46854,garbate szczęście,smutek;,- s
46857,down,wstręt;,- m
46858,down,złość;wstręt;,- m
46859,mongoł,wstręt;,- m
46860,mongoł,złość;wstręt;,- m
46861,bezmózgowiec,wstręt;złość,- m
46862,bezmózgowiec,wstręt;złość,- m
46865,babrać,smutek;,- s
46866,babrać,złość;wstręt;,- s
46867,haftować,smutek;,- m
46868,haftować,wstręt;,- s
46869,haftować,strach;wstręt;,- s
46870,rzygać,smutek;,- s
46871,rzygać,wstręt;,- s
46872,puszczać pawia,smutek;,- s
46873,puszczać pawia,wstręt;,- s
46874,odkurzać,,+ s
46878,beczeć,smutek;złość;,- s
46879,beczeć,smutek;złość;,- s
46880,szlochać,smutek;,- m
46881,szlochać,smutek;złość;,- m
46882,łkać,smutek;,- s
46883,łkać,smutek;,- m
46884,łkać,radość;,amb
46885,łkać,smutek;,- s
46886,łkać,smutek;,- s
46889,rysować,,- s
46890,rysować,,- s
46897,blednąć,radość;smutek;złość;,amb
46898,blednąć,smutek;strach;,- s
46899,blednąć,smutek;,- s
46900,bladnąć,radość;smutek;złość;,amb
46901,bladnąć,smutek;strach;,- s
46902,bladnąć,smutek;,- s
46903,zblednąć,smutek;,- s
46904,zblednąć,strach;,- s
46905,zielenieć,zaskoczenie czymś nieprzewidywanym;,- s
46906,zielenieć,smutek;,- s
46907,zzielenieć,smutek;,- s
46908,zzielenieć,smutek;,- s
46909,kraśnieć,radość;smutek;,amb
46910,kraśnieć,radość;złość;,amb
46917,płonąć,smutek;złość;,- s
46918,płonąć,smutek;,- m
46919,płonąć,smutek;,- s
46920,gorzeć,radość;smutek;,amb
46921,gorzeć,smutek;złość;,- s
46922,gorzeć,złość;wstręt;,amb
46923,spiekać raka,zaskoczenie czymś nieprzewidywanym;smutek;złość;,- s
46924,spiekać raka,zaskoczenie czymś nieprzewidywanym;złość;,- s
46925,spiec raka,zaskoczenie czymś nieprzewidywanym;smutek;złość;,- s
46926,spiec raka,zaskoczenie czymś nieprzewidywanym;złość;,- s
46927,spiec raczka,zaskoczenie czymś nieprzewidywanym;smutek;złość;,- s
46928,spiec raczka,zaskoczenie czymś nieprzewidywanym;złość;,- s
46929,spiekać raczka,zaskoczenie czymś nieprzewidywanym;smutek;złość;,- s
46930,spiekać raczka,zaskoczenie czymś nieprzewidywanym;złość;,- s
46931,zbladnąć,smutek;,- s
46932,zbladnąć,strach;,- s
46935,balon,smutek;złość;wstręt;,- s
46936,balon,smutek;złość;,- s
46937,bańka,smutek;złość;wstręt;,- s
46938,bańka,smutek;złość;,- s
46943,męczyć,,- s
46944,męczyć,smutek;,- s
46945,niszczyć,smutek;strach;,- m
46946,niszczyć,,- m
46947,niszczyć,smutek;strach;,- m
46948,niszczyć,smutek;złość;strach;,- m
46949,niszczyć,smutek;strach;,- m
46950,niszczyć,,- m
46951,psuć,smutek;złość;,- s
46952,psuć,smutek;złość;wstręt;,- s
46962,zatrzeć,radość;smutek;złość;,amb
46963,zacierać,zaufanie;złość;,amb
46964,zacierać,smutek;strach;,- s
46965,zacierać,cieszenie się na coś oczekiwanego;złość;,amb
46968,zatrzeć,złość;,- s
46969,zatrzeć,smutek;złość;,- s
46970,popsuć,smutek;złość;,- s
